trade_date,close,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,turnover_rate,volume_ratio,total_share,float_share,free_share,total_mv,circ_mv
20250919,6.94,70.2401,61.0617,1.8828,1.0728,0.9555,0.3749,0.4903,1.1522,0.7,116572.23,116222.37,42921.6044,809011.2762,806583.2478
20250922,6.93,70.1389,60.9738,1.8801,1.0712,0.9541,0.3755,0.491,0.7491,0.54,116572.23,116222.37,42921.6044,807845.5539,805421.0241
20250923,6.86,69.4304,60.3579,1.8611,1.0604,0.9444,0.3793,0.496,1.1523,0.89,116572.23,116222.37,42921.6044,799685.4978,797285.4582
20250924,6.91,69.9365,60.7978,1.8747,1.0681,0.9513,0.3765,0.4924,0.6891,0.57,116572.23,116222.37,42921.6044,805514.1093,803096.5767
20250925,6.83,69.1268,60.0939,1.8529,1.0558,0.9403,0.381,0.4982,0.8157,0.71,116572.23,116222.37,42921.6044,796188.3309,793798.7871
20250926,6.94,70.2401,61.0617,1.8828,1.0728,0.9555,0.3749,0.4903,1.1534,1.27,116572.23,116222.37,42921.6044,809011.2762,806583.2478
20250929,7.23,73.1752,63.6133,1.9615,1.1176,0.9954,0.3599,0.4706,2.1527,2.36,116572.23,116222.37,42921.6044,842817.2229,840287.7351
20250930,7.18,72.6692,63.1734,1.9479,1.1099,0.9885,0.3624,0.4739,1.3499,1.13,116572.23,116222.37,42921.6044,836988.6114,834476.6166
20251009,7.15,72.3655,62.9094,1.9398,1.1052,0.9844,0.3639,0.4759,1.1905,0.97,116572.23,116222.37,42921.6044,833491.4445,830989.9455
20251010,7.3,73.8837,64.2292,1.9805,1.1284,1.005,0.3564,0.4661,1.6948,1.27,116572.23,116222.37,42921.6044,850977.279,848423.301
20251013,7.29,73.7825,64.1412,1.9777,1.1269,1.0036,0.3569,0.4667,1.695,1.12,116572.23,116222.37,42921.6044,849811.5567,847261.0773
20251014,7.41,74.997,65.1971,2.0103,1.1454,1.0202,0.3511,0.4592,3.3537,2.07,116572.23,116222.37,42921.6044,863800.2243,861207.7617
20251015,7.77,78.6406,68.3645,2.108,1.2011,1.0697,0.3349,0.4379,3.7444,2.02,116572.23,116222.37,42921.6044,905766.2271,903047.8149
20251016,7.44,75.3006,65.461,2.0184,1.1501,1.0243,0.3497,0.4573,2.422,1.04,116572.23,116222.37,42921.6044,867297.3912,864694.4328
20251017,7.19,72.7704,63.2614,1.9506,1.1114,0.9899,0.3619,0.4732,1.7764,0.69,116572.23,116222.37,42921.6044,838154.3337,835638.8403
20251020,7.33,74.1873,64.4932,1.9886,1.1331,1.0092,0.355,0.4642,1.1245,0.43,116572.23,116222.37,42921.6044,854474.4459,851909.9721
20251021,7.61,77.0212,66.9568,2.0646,1.1764,1.0477,0.3419,0.4471,2.0572,0.83,116572.23,116222.37,42921.6044,887114.6703,884452.2357
20251022,7.52,76.1103,66.1649,2.0401,1.1624,1.0353,0.346,0.4525,1.1089,0.5,116572.23,116222.37,42921.6044,876623.1696,873992.2224
20251023,7.56,76.5152,66.5168,2.051,1.1686,1.0408,0.3442,0.4501,1.1854,0.7,116572.23,116222.37,42921.6044,881286.0588,878641.1172
20251024,7.5,75.9079,65.9889,2.0347,1.1594,1.0326,0.3469,0.4537,1.0805,0.74,116572.23,116222.37,42921.6044,874291.725,871667.775
20251027,7.67,77.6285,67.4847,2.0808,1.1856,1.056,0.3392,0.4436,1.5652,1.19,116572.23,116222.37,42921.6044,894109.0041,891425.5779
